Species,Population,Year,Altitude
S,0,2037,1375
S,0,2037,1425
S,91,2037,1475
S,56,2037,1525
S,0,2037,1575
S,0,2037,1625
S,0,2037,1675
S,0,2037,1725
S,0,2037,1775
S,0,2037,1825
S,0,2037,1875
S,0,2037,1925
S,1,2037,1975
S,0,2038,225
S,1,2038,275
S,209,2038,325
S,65,2038,375
S,44,2038,425
S,752,2038,475
S,4716,2038,525
S,1588,2038,575
S,1843,2038,625
S,41,2038,675
S,24,2038,725
S,286,2038,775
S,191,2038,825
S,18,2038,875
S,532,2038,925
S,500,2038,975
S,27,2038,1025
S,44,2038,1075
S,17,2038,1125
S,184,2038,1175
S,39,2038,1225
S,4,2038,1275
S,4,2038,1325
S,0,2038,1375
S,0,2038,1425
S,89,2038,1475
S,58,2038,1525
S,0,2038,1575
S,0,2038,1625
S,0,2038,1675
S,0,2038,1725
S,0,2038,1775
S,0,2038,1825
S,0,2038,1875
S,0,2038,1925
S,1,2038,1975
S,0,2039,225
S,1,2039,275
S,207,2039,325
S,59,2039,375
S,42,2039,425
S,736,2039,475
S,4728,2039,525
S,1596,2039,575
S,1856,2039,625
S,40,2039,675
S,31,2039,725
S,285,2039,775
S,202,2039,825
S,17,2039,875
S,550,2039,925
S,498,2039,975
S,25,2039,1025
S,47,2039,1075
S,17,2039,1125
S,185,2039,1175
S,39,2039,1225
S,5,2039,1275
S,4,2039,1325
S,0,2039,1375
S,0,2039,1425
S,90,2039,1475
S,62,2039,1525
S,0,2039,1575
S,0,2039,1625
S,0,2039,1675
S,0,2039,1725
S,0,2039,1775
S,0,2039,1825
S,0,2039,1875
S,0,2039,1925
S,0,2039,1975
S,0,2040,225
S,1,2040,275
S,204,2040,325
S,60,2040,375
S,46,2040,425
S,748,2040,475
S,4694,2040,525
S,1612,2040,575
S,1815,2040,625
S,38,2040,675
S,32,2040,725
S,299,2040,775
S,193,2040,825
S,16,2040,875
S,555,2040,925
S,494,2040,975
S,25,2040,1025
S,52,2040,1075
S,18,2040,1125
S,189,2040,1175
S,41,2040,1225
S,3,2040,1275
S,2,2040,1325
S,0,2040,1375
S,0,2040,1425
S,79,2040,1475
S,60,2040,1525
S,0,2040,1575
S,0,2040,1625
S,0,2040,1675
S,0,2040,1725
S,0,2040,1775
S,0,2040,1825
S,0,2040,1875
S,0,2040,1925
S,0,2040,1975
S,0,2041,225
S,1,2041,275
S,210,2041,325
S,62,2041,375
S,46,2041,425
S,755,2041,475
S,4724,2041,525
S,1585,2041,575
S,1799,2041,625
S,37,2041,675
S,34,2041,725
S,291,2041,775
S,184,2041,825
S,16,2041,875
S,542,2041,925
S,488,2041,975
S,22,2041,1025
S,49,2041,1075
S,15,2041,1125
S,192,2041,1175
S,39,2041,1225
S,3,2041,1275
S,2,2041,1325
S,0,2041,1375
S,0,2041,1425
S,81,2041,1475
S,62,2041,1525
S,0,2041,1575
S,0,2041,1625
S,0,2041,1675
S,0,2041,1725
S,0,2041,1775
S,0,2041,1825
S,0,2041,1875
S,0,2041,1925
S,0,2041,1975
S,0,2042,225
S,1,2042,275
S,194,2042,325
S,63,2042,375
S,43,2042,425
S,750,2042,475
S,4710,2042,525
S,1605,2042,575
S,1817,2042,625
S,41,2042,675
S,34,2042,725
S,284,2042,775
S,185,2042,825
S,15,2042,875
S,544,2042,925
S,515,2042,975
S,22,2042,1025
S,49,2042,1075
S,19,2042,1125
S,185,2042,1175
S,38,2042,1225
S,3,2042,1275
S,2,2042,1325
S,0,2042,1375
S,0,2042,1425
S,83,2042,1475
S,62,2042,1525
S,0,2042,1575
S,0,2042,1625
S,0,2042,1675
S,0,2042,1725
S,0,2042,1775
S,0,2042,1825
S,0,2042,1875
S,0,2042,1925
S,0,2042,1975
S,0,2043,225
S,2,2043,275
S,192,2043,325
S,59,2043,375
S,42,2043,425
S,747,2043,475
S,4714,2043,525
S,1649,2043,575
S,1811,2043,625
S,38,2043,675
S,31,2043,725
S,286,2043,775
S,186,2043,825
S,16,2043,875
S,538,2043,925
S,521,2043,975
S,22,2043,1025
S,44,2043,1075
S,19,2043,1125
S,181,2043,1175
S,40,2043,1225
S,2,2043,1275
S,3,2043,1325
S,0,2043,1375
S,0,2043,1425
S,86,2043,1475
S,61,2043,1525
S,0,2043,1575
S,0,2043,1625
S,0,2043,1675
S,0,2043,1725
S,0,2043,1775
S,0,2043,1825
S,0,2043,1875
S,0,2043,1925
S,0,2043,1975
S,0,2044,225
S,2,2044,275
S,204,2044,325
S,54,2044,375
S,41,2044,425
S,733,2044,475
S,4749,2044,525
S,1674,2044,575
S,1775,2044,625
S,36,2044,675
S,30,2044,725
S,282,2044,775
S,189,2044,825
S,17,2044,875
S,538,2044,925
S,512,2044,975
S,24,2044,1025
S,47,2044,1075
S,16,2044,1125
S,178,2044,1175
S,39,2044,1225
S,4,2044,1275
S,4,2044,1325
S,0,2044,1375
S,0,2044,1425
S,86,2044,1475
S,60,2044,1525
S,0,2044,1575
S,0,2044,1625
S,0,2044,1675
S,0,2044,1725
S,0,2044,1775
S,0,2044,1825
S,0,2044,1875
S,0,2044,1925
S,0,2044,1975
S,0,2045,225
S,3,2045,275
S,211,2045,325
S,59,2045,375
S,40,2045,425
S,734,2045,475
S,4778,2045,525
S,1661,2045,575
