Species,Year,Population
N_0.567kg,2064,1578.630830968974
N_0.567kg,2065,1579.1687392774272
N_0.567kg,2066,1579.7853141093565
N_0.567kg,2067,1580.4806839131045
N_0.567kg,2068,1581.2546207511816
N_0.567kg,2069,1582.107839149712
N_0.567kg,2070,1583.0402522153213
N_0.567kg,2071,1584.0516593664668
N_0.567kg,2072,1585.1426336741843
N_0.567kg,2073,1586.313693366505
N_0.567kg,2074,1587.5644408749768
N_0.567kg,2075,1588.8948373962621
N_0.567kg,2076,1590.3059681934153
N_0.567kg,2077,1591.7978838072752
N_0.567kg,2078,1593.3715935604841
N_0.567kg,2079,1595.0272607680195
N_0.567kg,2080,1596.766155742803
N_0.567kg,2081,1598.5882781316022
N_0.567kg,2082,1600.494268903223
N_0.567kg,2083,1602.4856685385794
N_0.567kg,2084,1604.562879206245
N_0.567kg,2085,1606.72635130982
N_0.567kg,2086,1608.9766223817912
N_0.567kg,2087,1611.3150635082518
N_0.567kg,2088,1613.7423080897954
N_0.567kg,2089,1616.2590189572666
N_0.567kg,2090,1618.8663927452676
N_0.567kg,2091,1621.5658455712041
N_0.567kg,2092,1624.3588363360311
N_0.567kg,2093,1627.246211375098
N_0.567kg,2094,1630.2287575905457
N_0.567kg,2095,1633.307527896524
N_0.567kg,2096,1636.4835226963394
N_0.567kg,2097,1639.757938640482
N_0.567kg,2098,1643.132033786252
N_0.567kg,2099,1646.6078781999142
N_0.567kg,2100,1650.1869462929576
N_0.567kg,2101,1653.870260056547
N_0.567kg,2102,1657.6600065836608
N_0.567kg,2103,1661.5568266214984
N_0.567kg,2104,1665.562165578435
N_0.567kg,2105,1669.6789581851385
N_0.567kg,2106,1673.9089543858702
N_0.567kg,2107,1678.2542081763643
N_0.567kg,2108,1682.7157419195369
N_0.567kg,2109,1687.295158514514
N_0.567kg,2110,1691.9951515020707
N_0.567kg,2111,1696.8176463947075
N_0.567kg,2112,1701.7655169292068
N_0.567kg,2113,1706.840583121745
N_0.567kg,2114,1712.044891777317
N_0.567kg,2115,1717.3808278049676
N_0.567kg,2116,1722.8507650636977
N_0.567kg,2117,1728.4575496756029
N_0.567kg,2118,1734.203818491152
N_0.567kg,2119,1740.093409896174
N_0.567kg,2120,1746.1283685422413
N_0.567kg,2121,1752.3106626491801
N_0.567kg,2122,1758.64375344595
N_0.567kg,2123,1765.1306477709072
N_0.567kg,2125,1771.7749577203629
N_148kg,2025,2.9998314772614867
N_148kg,2026,50.81493242059339
N_148kg,2027,100.2148574049154
N_148kg,2028,150.50153592650497
N_148kg,2029,200.6880770372259
N_148kg,2030,249.64595163771793
N_148kg,2031,296.39706028612926
N_148kg,2032,340.2876907976705
N_148kg,2033,381.0392613847644
N_148kg,2034,418.6753056045317
