Species,Population,Year,Altitude
S,6228,2125,1425
S,6228,2125,1475
S,6228,2125,1525
S,6228,2125,1575
S,6228,2125,1625
S,6228,2125,1675
S,6228,2125,1725
S,6228,2125,1775
S,6228,2125,1825
S,6228,2125,1875
S,6228,2125,1925
S,6228,2125,1975
D,5540,2125,225
D,5540,2125,275
D,5540,2125,325
D,5540,2125,375
D,5540,2125,425
D,5540,2125,475
D,5540,2125,525
D,5540,2125,575
D,5540,2125,625
D,5540,2125,675
D,5540,2125,725
D,5540,2125,775
D,5540,2125,825
D,5540,2125,875
D,5540,2125,925
D,5540,2125,975
D,5540,2125,1025
D,5540,2125,1075
D,5540,2125,1125
D,5540,2125,1175
D,5540,2125,1225
D,5540,2125,1275
D,5540,2125,1325
D,5540,2125,1375
D,5540,2125,1425
D,5540,2125,1475
D,5540,2125,1525
D,5540,2125,1575
D,5540,2125,1625
D,5540,2125,1675
D,5540,2125,1725
D,5540,2125,1775
D,5540,2125,1825
D,5540,2125,1875
D,5540,2125,1925
D,5540,2125,1975
B,2477,2125,225
B,2477,2125,275
B,2477,2125,325
B,2477,2125,375
B,2477,2125,425
B,2477,2125,475
B,2477,2125,525
B,2477,2125,575
B,2477,2125,625
B,2477,2125,675
B,2477,2125,725
B,2477,2125,775
B,2477,2125,825
B,2477,2125,875
B,2477,2125,925
B,2477,2125,975
B,2477,2125,1025
B,2477,2125,1075
B,2477,2125,1125
B,2477,2125,1175
B,2477,2125,1225
B,2477,2125,1275
B,2477,2125,1325
B,2477,2125,1375
B,2477,2125,1425
B,2477,2125,1475
B,2477,2125,1525
B,2477,2125,1575
B,2477,2125,1625
B,2477,2125,1675
B,2477,2125,1725
B,2477,2125,1775
B,2477,2125,1825
B,2477,2125,1875
B,2477,2125,1925
B,2477,2125,1975
N,0.7,2125,225
N,3.2,2125,275
N,15.4,2125,325
N,24.6,2125,375
N,62.9,2125,425
N,117.6,2125,475
N,156.9,2125,525
N,221.7,2125,575
N,342.5,2125,625
N,550.4,2125,675
N,847.8,2125,725
N,1102.2,2125,775
N,1136.1,2125,825
N,1067.3,2125,875
N,1110.4,2125,925
N,910.2,2125,975
N,588.2,2125,1025
N,404,2125,1075
N,305.6,2125,1125
N,246.5,2125,1175
N,211.1,2125,1225
N,169,2125,1275
N,130,2125,1325
N,112.6,2125,1375
N,98.6,2125,1425
N,103.6,2125,1475
N,91.1,2125,1525
N,70.8,2125,1575
N,56.5,2125,1625
N,48.2,2125,1675
N,39.5,2125,1725
N,33.3,2125,1775
N,30.5,2125,1825
N,27.6,2125,1875
N,28.9,2125,1925
N,23.8,2125,1975
