Species,Population,Year
S,7780.99747972558,2084
S,9391.710744093138,2085
S,12435.381281302427,2086
S,13088.676177990563,2087
S,12375.676517128255,2088
S,11724.97337941955,2089
S,11026.399340569958,2090
S,10142.76214969189,2091
S,9261.02969227832,2092
S,8540.536733240766,2093
S,7769.352094124478,2094
S,9337.945581684371,2095
S,12470.262751543154,2096
S,13205.261550193589,2097
S,12422.674993621347,2098
S,11711.02156400308,2099
S,11022.1895422047,2100
S,10136.863766229291,2101
S,9256.337921982662,2102
S,8536.257107091238,2103
S,7756.1156480849895,2104
S,9346.989798880062,2105
S,12436.174412232345,2106
S,13103.55029670933,2107
S,12385.232806251885,2108
S,11733.896265695847,2109
S,11033.893435743674,2110
S,10149.641497672637,2111
S,9267.003562206557,2112
S,8546.448685301912,2113
S,7763.5897724007755,2114
S,9365.41611140166,2115
S,12451.248449739285,2116
S,13120.217719213124,2117
S,12401.696948707671,2118
S,11748.195030136607,2119
S,11047.333754820434,2120
S,10157.91017152601,2121
S,9287.150894651186,2122
S,8514.658520194498,2123
S,7922.8380549420435,2125
Sns,45.0,2025
Sns,52.00984558939666,2026
Sns,50.639357608485675,2027
Sns,96.2594163724029,2028
Sns,132.88159520538707,2029
Sns,127.85441201624934,2030
Sns,187.04676132903109,2031
Sns,275.48340414522653,2032
Sns,502.61450617131567,2033
Sns,647.1760026395209,2034
Sns,528.9829418575817,2035
Sns,394.0405189975509,2036
Sns,295.9552832607701,2037
Sns,271.1912755309062,2038
Sns,257.8566315484981,2039
Sns,216.91861841105836,2040
Sns,250.58218763177882,2041
Sns,321.07193332810346,2042
Sns,534.631765267312,2043
Sns,672.2574478338753,2044
Sns,546.2200091813511,2045
Sns,406.0622979149204,2046
Sns,304.53983964034154,2047
Sns,277.3188697295959,2048
Sns,262.2260271860674,2049
Sns,220.06051003684527,2050
Sns,252.8697219134157,2051
Sns,322.4707661484175,2052
Sns,535.8139165061441,2053
Sns,669.8339803094041,2054
Sns,545.2297268456998,2055
Sns,405.33309005518424,2056
Sns,304.0471449828613,2057
Sns,276.8925204370024,2058
Sns,261.94024391637987,2059
Sns,220.0410107324898,2060
Sns,252.73679802046587,2061
Sns,322.68497839624865,2062
Sns,535.0281638972743,2063
Sns,671.4096132858407,2064
Sns,545.953057152786,2065
Sns,405.8499636454226,2066
Sns,304.3947650915548,2067
Sns,277.2166915813587,2068
Sns,262.1482929764932,2069
Sns,219.95550381136755,2070
Sns,252.78264160322772,2071
Sns,322.64194892365396,2072
Sns,535.7495928610101,2073
Sns,672.860839694997,2074
Sns,546.7315857758043,2075
Sns,406.474966347012,2076
Sns,304.8338095581563,2077
Sns,277.5206496899952,2078
Sns,262.3430366790676,2079
Sns,220.20989036582864,2080
Sns,252.94280167041725,2081
Sns,322.49436620872723,2082
Sns,536.2379095926098,2083
Sns,669.8740427237519,2084
Sns,544.6998765388528,2085
Sns,405.00479526252036,2086
Sns,303.7896749700631,2087
Sns,276.74602029130006,2088
Sns,261.83302767446247,2089
Sns,219.7014451165146,2090
Sns,252.52033609444274,2091
Sns,322.2203034789626,2092
Sns,535.4700447038476,2093
Sns,671.7813741931047,2094
Sns,546.2021478386663,2095
Sns,406.09834121886513,2096
Sns,304.5762938260076,2097
Sns,277.34348726157515,2098
Sns,262.21309180718924,2099
Sns,220.15077619693355,2100
Sns,252.93519368142418,2101
Sns,322.53313261844966,2102
Sns,535.5027892460091,2103
Sns,670.4495001986179,2104
Sns,545.3771532663957,2105
Sns,405.7517047947588,2106
Sns,304.33290476444637,2107
Sns,277.1032163683896,2108
Sns,262.16129580465054,2109
Sns,219.98795625520793,2110
Sns,252.80041938515984,2111
Sns,322.4185976605497,2112
Sns,536.0803737277512,2113
Sns,670.4169305278731,2114
Sns,546.2743742250217,2115
Sns,406.3187222719113,2116
Sns,304.72888027645075,2117
Sns,277.5023761600937,2118
Sns,262.2787051180575,2119
Sns,220.4120790937567,2120
Sns,252.08585631206924,2121
Sns,326.2307999667965,2122
Sns,523.7854150335053,2123
Sns,714.5606000770143,2125
Su,1648.0,2025
Su,1488.0871803918983,2026
Su,1372.7520299091004,2027
Su,1308.9410413375765,2028
Su,1243.975444754049,2029
Su,1150.7641855093098,2030
Su,1096.31313743104,2031
Su,1083.930836246103,2032
Su,1120.71615486138,2033
Su,1147.9942411133516,2034
Su,1079.0975233874155,2035
Su,985.5211510528634,2036
Su,930.1096509281131,2037
Su,918.7849784902033,2038
Su,900.164780519402,2039
Su,847.7321836217448,2040
Su,829.1918590209439,2041
Su,848.6202223292062,2042
Su,913.1347629312196,2043
Su,965.6271565346428,2044
Su,918.4738903270546,2045
Su,843.9505921800686,2046
Su,805.3739010940658,2047
Su,808.8613109684577,2048
Su,803.2912058658017,2049
Su,762.3736596984884,2050
Su,754.0077192187657,2051
Su,782.2567351873656,2052
Su,854.7533281678675,2053
Su,913.350950088537,2054
Su,872.3562596102528,2055
Su,803.3299136282646,2056
Su,769.5543905494636,2057
Su,777.2688870981352,2058
Su,775.4616093206037,2059
Su,737.8855395912228,2060
Su,732.3353364842653,2061
Su,763.2811694788427,2062
Su,837.7588937677981,2063
Su,898.8853565330446,2064
Su,859.6606877963657,2065
Su,792.1262752475872,2066
Su,759.7098710457362,2067
Su,768.6255362296479,2068
Su,767.8391934648812,2069
Su,731.124228050719,2070
Su,726.4583928311588,2071
Su,758.0939867164481,2072
Su,833.363872260994,2073
Su,895.2909263615225,2074
Su,856.4835469458187,2075
Su,789.3323452085269,2076
Su,757.2306214641876,2077
Su,766.440521478994,2078
Su,765.9044692791163,2079
Su,729.4458272796363,2080
Su,724.969411375069,2081
Su,756.6674417595545,2082
Su,832.3047106223959,2083
Su,893.5563591849184,2084
Su,854.7424271381267,2085
Su,787.8130688081311,2086
Su,755.9020558630938,2087
Su,765.2557307199206,2088
Su,764.878724845347,2089
Su,728.5167303171627,2090
Su,724.0595097234282,2091
Su,755.8848078377388,2092
Su,831.4347727046871,2093
Su,893.3636793716669,2094
Su,854.8119805056381,2095
Su,787.9013156085373,2096
Su,755.9751518729998,2097
Su,765.3367022259448,2098
Su,764.9304110776168,2099
Su,728.5931638143635,2100
Su,724.2427842168588,2101
Su,756.0402571620937,2102
Su,831.5539396011716,2103
Su,893.1808904726112,2104
Su,854.4757774287716,2105
Su,787.67370113307,2106
Su,755.8379181519672,2107
Su,765.2024735232876,2108
Su,764.8629206078097,2109
Su,728.5117722441867,2110
Su,724.1535114910668,2111
Su,755.955703663084,2112
Su,831.6673680594857,2113
Su,893.1497693018912,2114
Su,854.5958542338781,2115
Su,787.7726478877966,2116
Su,755.895965061426,2117
Su,765.2791166644892,2118
Su,764.8681255883237,2119
Su,728.5995403349126,2120
Su,723.9664252260654,2121
Su,757.0233696374337,2122
Su,828.5274251867565,2123
Su,904.4306026381976,2125
